Wall time,Step,Value
1778513291.7276702,42,0.9458810091018677
1778513293.2133336,167,0.037981994450092316
1778513293.8594408,229,0.029966816306114197
1778513293.9022593,234,0.03138425946235657
1778513294.2999518,273,0.6653349995613098
1778513296.488177,474,0.06363270431756973
1778513297.1601362,536,0.10082978010177612
1778513297.622726,579,0.3649154305458069
1778513297.6853313,586,0.16348670423030853
1778513298.4186745,634,0.15144436061382294
1778513298.5650501,647,0.3669113516807556
1778513299.3060093,714,0.699281632900238
1778513300.400555,808,0.11612032353878021
1778513302.7219386,1014,0.12564124166965485
1778513306.2344444,1333,0.22906625270843506
1778513306.2690692,1337,0.18037600815296173
1778513306.8192825,1385,0.12834219634532928
1778513306.8793643,1392,0.1890869140625
1778513307.4052181,1436,0.039223384112119675
1778513309.9166915,1691,0.09426632523536682
1778513310.4520347,1734,0.0719834715127945
1778513310.4793217,1737,0.45410066843032837
1778513312.0476646,1877,0.10089027881622314
1778513312.5216095,1917,0.058321766555309296
1778513313.7781303,2036,0.4925859570503235
1778513315.502804,2199,0.05657485872507095
1778513316.5731833,2307,0.11755359917879105
1778513317.3339932,2389,0.11081422865390778
1778513318.423442,2485,0.8798204064369202
1778513318.432148,2486,0.5043364763259888
1778513318.5357823,2498,0.19035981595516205
1778513320.5452118,2685,0.060147639364004135
1778513324.402439,3038,0.06737276911735535
1778513326.3264363,3230,0.6145131587982178
1778513326.5497808,3246,0.2234591245651245
1778513327.1893682,3305,0.4028008282184601
1778513330.9292147,3618,0.15983083844184875
1778513330.9466338,3620,0.31547537446022034
1778513331.3960865,3670,0.1708465814590454
1778513332.2035687,3741,0.44711384177207947
1778513333.082082,3814,0.30051785707473755
1778513333.1475658,3821,0.24811673164367676
1778513334.4806159,3956,0.2810552418231964
1778513338.4826097,4317,0.6103088855743408
1778513339.5196276,4400,0.2416335940361023
1778513340.547112,4492,1.0371484756469727
1778513340.7486663,4509,0.9836188554763794
1778513342.560193,4676,0.8178948760032654
1778513343.759843,4788,0.4145972728729248
1778513345.7604983,4971,0.43691667914390564
1778513347.3449671,5134,0.11708066612482071
1778513349.6684704,5345,1.1216331720352173
1778513349.8047256,5359,0.42597728967666626
1778513353.8372643,5723,0.1660783588886261
1778513354.7742417,5808,0.21721333265304565
1778513355.3492517,5864,0.7815005779266357
1778513355.8709466,5907,0.34642675518989563
1778513356.7676904,5990,0.26613014936447144
1778513359.2447286,6200,0.13265322148799896
1778513359.4706562,6219,0.17158810794353485
1778513360.3444393,6289,0.5637350082397461
1778513363.4751372,6574,0.39418739080429077
1778513365.2380872,6699,0.45985525846481323
1778513365.3762362,6711,0.28472334146499634
1778513366.7747712,6854,0.3873708248138428
