Wall time,Step,Value
1778452895.010256,42,1.95462167263031
1778452896.275173,167,3.138521909713745
1778452896.7676091,229,2.248575210571289
1778452896.8032155,234,3.616892099380493
1778452897.0830708,273,6.931980609893799
1778452898.9530604,474,4.634251594543457
1778452899.4308918,536,4.899569034576416
1778452899.7373374,579,9.257773399353027
1778452899.7871106,586,7.121345043182373
1778452900.3407586,634,13.5274019241333
1778452900.5544727,647,10.664721488952637
1778452901.074888,714,2.5557403564453125
1778452901.8594859,808,2.0164105892181396
1778452903.5336351,1014,3.315739154815674
1778452905.933346,1333,2.5535244941711426
1778452905.962447,1337,3.1944549083709717
1778452906.4105144,1385,2.649188995361328
1778452906.4602892,1392,2.7159783840179443
1778452906.8087637,1436,2.1256537437438965
1778452908.8626049,1691,2.6266913414001465
1778452909.2089913,1734,1.9108734130859375
1778452909.2307696,1737,1.719670057296753
1778452910.2799172,1877,1.6262052059173584
1778452910.599092,1917,2.061572551727295
1778452911.654304,2036,1.6827338933944702
1778452912.9615355,2199,2.29807448387146
1778452913.8068357,2307,3.170426607131958
1778452914.390879,2389,2.5558037757873535
1778452915.11555,2485,5.001136302947998
1778452915.122645,2486,4.666430950164795
1778452915.2077513,2498,4.114184379577637
1778452916.793011,2685,3.5402214527130127
1778452919.6186624,3038,3.5887134075164795
1778452921.081809,3230,3.6630609035491943
1778452921.195093,3246,2.744476556777954
1778452921.6752348,3305,3.3027966022491455
1778452924.273811,3618,1.8197059631347656
1778452924.2876961,3620,1.6782336235046387
1778452924.7047856,3670,3.268850564956665
1778452925.2493167,3741,4.079049587249756
1778452925.9088159,3814,2.310188055038452
1778452925.961084,3821,3.2502615451812744
1778452927.0369997,3956,2.7857251167297363
1778452929.891276,4317,2.0732572078704834
1778452930.491943,4400,1.9503881931304932
1778452931.20509,4492,2.442558526992798
1778452931.358009,4509,1.7134026288986206
1778452932.6897008,4676,2.2062487602233887
1778452933.5796385,4788,2.604326009750366
1778452934.9714038,4971,2.937540292739868
1778452936.196459,5134,3.214268207550049
1778452937.8780186,5345,2.3773252964019775
1778452937.9772646,5359,2.206508159637451
1778452939.4333994,5549,2.342867136001587
1778452940.7494173,5723,2.929069995880127
1778452941.4146438,5808,2.0665812492370605
1778452941.814826,5864,3.070945978164673
1778452942.192036,5907,2.1520824432373047
1778452942.804426,5990,1.9307022094726562
1778452944.3843849,6200,2.3265483379364014
1778452944.5580506,6219,2.2987022399902344
1778452945.064597,6289,2.1708388328552246
1778452947.2583556,6574,2.208268642425537
1778452948.2165523,6699,2.951160430908203
1778452948.3302872,6711,1.9070338010787964
1778452949.4806192,6854,1.9829473495483398
1778452950.3557465,6966,2.1192543506622314
1778452951.7781737,7155,2.0615673065185547
1778452953.5892644,7382,2.603752374649048
1778452954.2262843,7460,1.2263972759246826
1778452954.2475536,7463,1.5740771293640137
1778452954.6128807,7511,1.6254419088363647
1778452956.652175,7788,2.7186038494110107
1778452956.7232733,7798,2.2989721298217773
1778452957.0043988,7833,2.363429546356201
1778452958.3586788,7991,1.7946237325668335
1778452959.0170665,8066,2.9140350818634033
1778452959.9397316,8180,2.409851551055908
1778452960.2686114,8221,1.9670013189315796
1778452961.3295653,8363,2.225609302520752
1778452961.4310436,8377,1.757135272026062
1778452962.3927646,8498,2.3317198753356934
1778452962.5008004,8508,2.3914973735809326
1778452963.2198827,8601,1.582775592803955
1778452965.3710089,8878,1.7685166597366333
1778452965.8061228,8935,2.079233169555664
1778452966.2197158,8993,1.66192626953125
1778452968.5158331,9260,1.5485650300979614
1778452970.1560931,9468,2.1347436904907227
1778452970.895184,9554,1.47930908203125
1778452970.987583,9567,1.7513729333877563
1778452972.0722237,9698,1.3158724308013916
1778452973.310844,9843,1.817277431488037
1778452973.8421054,9907,2.1159324645996094
1778452976.667641,10276,2.69535756111145
1778452976.7174432,10283,2.2336950302124023
1778452977.563566,10399,1.6697213649749756
1778452978.1957004,10479,2.0614261627197266
1778452978.5440671,10522,1.9815468788146973
1778452979.1801167,10607,2.4958653450012207
1778452980.454031,10780,1.7234814167022705
1778452981.4039872,10902,1.709795594215393
1778452981.426434,10905,1.704817771911621
1778452981.860466,10966,1.7352900505065918
1778452981.9173734,10974,2.2701256275177
1778452982.267649,11020,1.6216955184936523
1778452982.8924701,11102,1.7267751693725586
1778452985.2433224,11419,1.52671480178833
1778452985.6249688,11472,1.595584511756897
1778452986.0795465,11532,2.05263614654541
1778452986.3224812,11566,1.5262470245361328
1778452987.2246258,11685,1.7999989986419678
1778452987.801335,11759,2.064387559890747
1778452989.479844,11969,1.5553972721099854
1778452989.5162644,11974,2.197158098220825
1778452990.9385302,12164,2.602130174636841
1778452991.8896065,12290,1.4935338497161865
1778452994.7782507,12671,1.5859780311584473
1778452996.296581,12877,1.698994755744934
1778452996.7713985,12939,1.1129666566848755
1778452997.466959,13034,1.7267727851867676
1778452997.6614757,13061,1.8165749311447144
1778453000.1906252,13402,1.6651341915130615
1778453001.2431147,13546,1.9374499320983887
1778453001.6308496,13597,1.5990623235702515
1778453001.8211575,13620,1.8102456331253052
