Wall time,Step,Value
1778468107.7717745,42,0.6151862144470215
1778468108.1514916,94,1.564889907836914
1778468108.7280731,167,2.512828826904297
1778468109.2160256,229,0.7799184322357178
1778468109.251323,234,1.32023024559021
1778468109.4001782,255,0.17329153418540955
1778468109.5269363,273,0.5082283616065979
1778468109.8312106,308,0.017835939303040504
1778468109.8456848,310,0.023370245471596718
1778468109.9025445,318,0.19074076414108276
1778468111.1640189,474,1.5778789520263672
1778468111.6414886,536,1.341841220855713
1778468111.990376,579,0.6446524858474731
1778468112.0398824,586,0.9667189121246338
1778468112.6977053,634,1.379978895187378
1778468112.7894716,647,1.1015069484710693
1778468113.5411966,714,0.26758280396461487
1778468113.5997162,722,0.7037714719772339
1778468114.197429,802,1.1902586221694946
1778468114.2399526,808,1.2967699766159058
1778468114.4601767,836,0.4734882116317749
1778468115.8928585,1014,0.8622767329216003
1778468116.3241692,1066,0.7483582496643066
1778468116.7014651,1104,0.19028544425964355
1778468117.3621542,1180,0.15947812795639038
1778468117.9936664,1261,1.4847526550292969
1778468118.4239678,1316,0.17077364027500153
1778468118.445208,1319,0.19505754113197327
1778468118.544943,1333,0.7878206968307495
1778468118.5732098,1337,0.9011597633361816
1778468118.9124923,1385,0.5305469036102295
1778468118.9619138,1392,1.1756619215011597
1778468119.3366024,1436,0.719733715057373
1778468120.2412772,1552,0.26631173491477966
1778468121.397503,1691,0.3493545651435852
1778468121.7486029,1734,0.8041033744812012
1778468121.7822256,1737,0.6983106136322021
1778468122.6338525,1844,0.24001726508140564
1778468122.873443,1877,0.6863691806793213
1778468123.1917799,1917,0.3704228699207306
1778468123.424155,1947,0.2772427201271057
1778468124.0828965,2036,0.7780011892318726
1778468124.5711296,2096,0.42441126704216003
1778468125.35788,2199,0.392276793718338
1778468125.8410585,2262,0.4530738592147827
1778468126.2266972,2307,0.4188556373119354
1778468126.8903701,2389,0.5783459544181824
1778468127.2714157,2436,0.7242927551269531
1778468127.4062526,2453,0.2494451254606247
1778468127.420769,2455,0.22695748507976532
1778468127.638444,2485,0.17883379757404327
1778468127.6454194,2486,0.16474395990371704
1778468127.7428439,2498,0.3100208044052124
1778468127.8071954,2503,0.37198495864868164
1778468128.0329113,2532,0.4114833474159241
1778468129.2209578,2685,0.3994920253753662
1778468129.643012,2740,0.25739508867263794
1778468131.4771678,2967,0.5590457916259766
1778468132.05787,3038,0.48616039752960205
1778468133.0906844,3161,0.3823278844356537
1778468133.6180744,3230,0.7613157033920288
1778468133.7338576,3246,0.5274034738540649
1778468133.7410686,3247,0.5326544046401978
1778468134.1820035,3305,0.6312481760978699
1778468135.5864594,3480,0.4967495799064636
1778468136.7924845,3618,0.5766804218292236
1778468136.8074937,3620,0.6828134059906006
1778468137.1806738,3670,0.4929986596107483
1778468137.7492416,3741,0.42700666189193726
1778468138.332711,3814,0.3806816339492798
1778468138.3827922,3821,0.4656618535518646
1778468139.2729225,3928,0.6387935280799866
1778468139.4743092,3956,0.4478134214878082
1778468140.0863943,4036,0.621991753578186
1778468140.567143,4098,0.4211276173591614
1778468141.336552,4196,0.34709060192108154
1778468141.626702,4232,0.4897706210613251
1778468142.285726,4317,0.24239416420459747
1778468142.9394042,4400,0.8825848698616028
1778468143.6163228,4492,0.7622928023338318
1778468143.8531466,4509,0.8537536859512329
1778468145.0140493,4664,0.3793020248413086
1778468145.0429027,4668,0.5761973857879639
1778468145.1004353,4676,0.5191115140914917
1778468146.0063262,4788,0.6799347996711731
1778468146.1280234,4802,0.43169814348220825
1778468146.8598046,4894,0.6212306022644043
1778468147.48038,4971,0.41636860370635986
1778468148.5594764,5106,0.5234171152114868
1778468148.7572496,5134,0.898329496383667
1778468150.406438,5345,0.5567651391029358
1778468150.5182412,5359,0.6708636283874512
1778468151.0706556,5420,0.6097800135612488
1778468152.264971,5549,0.5532885193824768
1778468153.282095,5679,0.4432148337364197
1778468153.6279478,5723,0.7191393375396729
1778468154.2677615,5808,0.8372663259506226
1778468154.6715136,5864,0.8282028436660767
1778468154.7218792,5871,0.767543613910675
1778468155.0528493,5907,0.6406153440475464
1778468155.6814005,5990,0.8075587153434753
1778468157.354066,6200,0.6671028733253479
