Wall time,Step,Value
1778468107.7717824,42,1.7413880825042725
1778468108.7280846,167,1.1052216291427612
1778468109.2160356,229,5.299246788024902
1778468109.2513325,234,4.0743632316589355
1778468109.5269437,273,4.223412990570068
1778468111.164029,474,0.5599683523178101
1778468111.6414967,536,0.8327014446258545
1778468111.9903862,579,1.9496031999588013
1778468112.0398927,586,1.5782383680343628
1778468112.6977153,634,0.6735928058624268
1778468112.7894795,647,0.83916836977005
1778468113.5412066,714,3.013793468475342
1778468114.2399628,808,0.9369058012962341
1778468115.8928664,1014,1.917306900024414
1778468118.5449533,1333,2.3484275341033936
1778468118.57322,1337,1.5427746772766113
1778468118.9125023,1385,4.157968521118164
1778468118.961924,1392,3.4967737197875977
1778468119.3366127,1436,1.7515640258789062
1778468121.4122202,1691,3.379223346710205
1778468121.7486105,1734,2.4610893726348877
1778468121.7822356,1737,2.7660229206085205
1778468122.8734524,1877,2.4078691005706787
1778468123.1917875,1917,2.479703426361084
1778468124.0829067,2036,2.5040483474731445
1778468125.3578877,2199,3.3444414138793945
1778468126.2267087,2307,3.48227596282959
1778468126.8903816,2389,2.1994807720184326
1778468127.638452,2485,4.468272686004639
1778468127.645427,2486,4.131338596343994
1778468127.7428553,2498,4.003945350646973
1778468129.2209692,2685,3.384432315826416
1778468132.0578773,3038,3.9620201587677
1778468133.618086,3230,2.2498655319213867
1778468133.7338688,3246,2.7461907863616943
1778468134.1820116,3305,2.77768611907959
1778468136.7924962,3618,3.6187474727630615
1778468136.8075051,3620,4.241963863372803
1778468137.180685,3670,3.7550230026245117
1778468137.7492516,3741,2.878180503845215
1778468138.3327224,3814,3.6073226928710938
1778468138.3827999,3821,2.989142417907715
1778468139.4743192,3956,3.079362392425537
1778468142.2857375,4317,3.09417986869812
1778468142.9394155,4400,2.9021575450897217
1778468143.6163304,4492,2.459336996078491
1778468143.8531568,4509,2.17486572265625
1778468145.1004467,4676,2.906477689743042
1778468146.006334,4788,2.744313955307007
1778468147.4803917,4971,2.459455966949463
1778468148.7572598,5134,2.243325710296631
1778468150.4064457,5345,2.1490797996520996
1778468150.5182488,5359,2.6762890815734863
1778468153.6279578,5723,2.7222847938537598
1778468154.267773,5808,1.870976209640503
1778468154.671525,5864,2.840040445327759
1778468155.052861,5907,2.023618221282959
1778468155.6985545,5990,2.1435940265655518
1778468157.3540757,6200,2.2379612922668457
1778468157.5239782,6219,3.04506778717041
1778468158.153102,6289,2.6257286071777344
1778468160.3938851,6574,2.6152846813201904
1778468161.3728428,6699,2.9834794998168945
1778468161.4873986,6711,2.1096627712249756
1778468162.8194323,6854,2.7518303394317627
1778468163.6846266,6966,2.8565022945404053
1778468165.11703,7155,2.56695818901062
1778468167.0286644,7382,3.2192509174346924
1778468167.6122565,7460,1.5007421970367432
1778468167.640909,7463,1.873934268951416
1778468168.0120263,7511,2.5187785625457764
1778468170.2161894,7798,2.6724066734313965
1778468170.4907112,7833,2.209678888320923
1778468171.7287512,7991,2.461233377456665
1778468172.3888867,8066,1.8362606763839722
1778468173.269541,8180,1.6103522777557373
1778468173.6040218,8221,2.3658246994018555
1778468174.7438705,8363,2.027123212814331
1778468175.776826,8498,1.3396685123443604
1778468175.8760946,8508,1.9668638706207275
1778468176.6077476,8601,2.5139918327331543
1778468178.8255327,8878,2.0708751678466797
1778468179.2619152,8935,1.8605566024780273
1778468179.6973608,8993,1.683390498161316
1778468181.7388659,9260,2.234933614730835
1778468183.4933982,9468,1.799008846282959
1778468184.1499336,9554,1.8007134199142456
1778468184.2436042,9567,1.5114644765853882
1778468185.3064327,9698,2.6933648586273193
1778468186.3847852,9843,1.847469449043274
1778468186.8797677,9907,1.7736865282058716
1778468189.825549,10276,2.236215829849243
1778468189.87601,10283,1.9334033727645874
1778468190.8114212,10399,1.6236025094985962
1778468191.428813,10479,2.0738275051116943
1778468191.7709348,10522,1.9369606971740723
1778468192.452928,10607,1.7299398183822632
1778468193.90402,10780,1.5257971286773682
1778468194.8221965,10902,1.7188721895217896
1778468194.843284,10905,1.8013932704925537
1778468195.2749226,10966,1.7699780464172363
1778468195.3313742,10974,1.441829800605774
1778468195.680591,11020,1.514596939086914
1778468196.3327978,11102,1.637703776359558
1778468198.8863885,11419,1.8764253854751587
1778468199.2625782,11472,2.016739845275879
1778468199.7119887,11532,1.526406168937683
1778468199.9706845,11566,1.9557000398635864
1778468200.8627903,11685,1.413742184638977
1778468201.454703,11759,1.7927367687225342
1778468203.1247277,11969,1.7145205736160278
1778468203.1600852,11974,1.450193166732788
1778468204.7225173,12164,2.170161485671997
1778468205.6957388,12290,1.4351824522018433
1778468208.8839357,12671,1.395943284034729
1778468210.5985317,12877,1.9184701442718506
1778468211.0591166,12939,2.393266201019287
1778468211.8590791,13034,1.8859719038009644
1778468212.0538678,13061,1.737581729888916
1778468214.9836035,13402,1.6651140451431274
1778468216.171738,13546,1.7081133127212524
1778468216.5376081,13597,1.5500167608261108
1778468216.7370799,13620,1.4710782766342163
1778468218.293729,13810,1.1877411603927612
1778468220.4310338,14080,1.441408634185791
1778468221.5744927,14221,1.7020353078842163
1778468222.0920603,14294,1.382460355758667
1778468222.4270637,14338,1.5944933891296387
1778468223.3368075,14447,1.3903261423110962
1778468224.8999357,14638,1.2727335691452026
1778468225.128136,14668,1.5297995805740356
1778468225.26393,14687,0.9196538925170898
1778468225.9577148,14779,1.3919155597686768
1778468226.1938262,14809,1.4464486837387085
1778468226.670248,14873,1.172763705253601
1778468226.8145196,14892,1.8522601127624512
1778468231.4192543,15473,1.2008880376815796
1778468231.684858,15507,1.613735318183899
1778468233.5746324,15740,1.0337644815444946
1778468233.7440712,15764,1.2985187768936157
1778468236.4725192,16116,1.0234124660491943
1778468237.4597707,16249,1.1696451902389526
1778468238.023534,16321,1.8452377319335938
1778468241.9568613,16809,1.176184892654419
1778468242.3357723,16857,1.410169243812561
1778468244.027046,17066,1.3410042524337769
1778468244.3009105,17097,1.0314030647277832
1778468246.0236943,17317,1.3173552751541138
1778468246.184782,17339,1.2616382837295532
1778468247.7297494,17543,1.237586259841919
1778468247.8288398,17557,1.3585671186447144
1778468248.076189,17586,1.146264910697937
1778468255.010178,18451,1.3904272317886353
1778468260.5093033,19116,1.7984182834625244
1778468260.8840678,19169,1.5530751943588257
1778468263.645936,19531,1.390880823135376
1778468264.5176232,19640,1.4571865797042847
1778468264.6211138,19654,1.5157943964004517
1778468265.3427372,19731,1.2751338481903076
1778468266.2038376,19846,1.2496757507324219
1778468267.3453033,19995,1.2184938192367554
1778468267.7914486,20053,1.5711898803710938
1778468267.8579895,20062,1.1626927852630615
1778468268.4538932,20138,1.494917392730713
1778468269.2962554,20244,1.5598161220550537
1778468269.353917,20252,1.3293139934539795
1778468269.9319224,20323,1.1668238639831543
1778468270.9289668,20440,1.3871766328811646
1778468271.702744,20539,1.3421604633331299
1778468271.709811,20540,1.5101250410079956
1778468271.9787743,20578,1.1578524112701416
1778468273.5408232,20779,1.3846224546432495
1778468273.56203,20782,1.2779144048690796
1778468273.9439414,20831,1.2783173322677612
1778468274.113648,20855,1.1855895519256592
1778468276.1122875,21080,1.0927562713623047
1778468276.6205323,21144,0.9057895541191101
1778468277.3180883,21232,0.9623163938522339
1778468277.980948,21319,1.625446081161499
1778468278.494012,21391,1.2071220874786377
1778468279.5838275,21523,1.307281732559204
1778468282.1499171,21848,1.3248482942581177
1778468285.2686763,22245,1.3444634675979614
1778468285.6174188,22292,1.2172008752822876
1778468285.936976,22330,1.292907476425171
1778468286.165845,22358,1.1149567365646362
1778468287.0319202,22472,1.3738579750061035
1778468289.8384533,22840,0.9654226303100586
1778468292.1729228,23138,1.0110801458358765
1778468292.2446702,23148,1.2451964616775513
1778468292.5597878,23192,1.0343962907791138
1778468292.7632804,23218,1.0913631916046143
1778468293.291355,23286,1.2849117517471313
1778468293.8547297,23361,1.0618571043014526
1778468294.410475,23427,1.396468162536621
1778468295.2976146,23540,1.0946824550628662
1778468296.4462082,23670,1.37177574634552
1778468296.5240242,23681,1.020269513130188
1778468296.6978707,23701,1.0094318389892578
1778468298.4646325,23938,1.3128564357757568
1778468299.5750244,24079,1.5066616535186768
1778468300.1735442,24147,1.1039437055587769
1778468301.2508445,24282,1.462445616722107
1778468301.265052,24284,1.0018976926803589
1778468301.5900426,24322,0.9606521129608154
1778468301.7539747,24345,1.2636350393295288
1778468303.852996,24621,0.9693563580513
1778468304.6308844,24719,1.025420069694519
1778468304.6891873,24727,1.1429318189620972
1778468306.0511014,24901,1.1877840757369995
1778468306.2918415,24934,1.081045150756836
1778468306.8680015,25008,1.1940803527832031
1778468308.7474422,25253,1.0972164869308472
1778468309.3555875,25332,1.2587552070617676
1778468309.800912,25391,1.2492518424987793
1778468313.1232536,25812,1.0360674858093262
1778468313.3901844,25847,1.0089980363845825
1778468313.9406228,25921,1.2001405954360962
1778468315.0594933,26066,1.2505804300308228
1778468315.8372548,26155,0.9758033752441406
1778468317.0885115,26303,0.8997909426689148
1778468318.3634036,26470,1.0093860626220703
1778468320.9385011,26797,1.0766462087631226
1778468320.9459126,26798,1.1847763061523438
1778468321.23106,26829,0.9402776956558228
1778468323.7418668,27142,0.9702849984169006
1778468323.902362,27154,0.9714399576187134
1778468323.931563,27158,0.9060662388801575
1778468323.9388533,27159,0.8645625710487366
1778468324.8187122,27274,0.953703761100769
1778468327.0481846,27505,1.189212441444397
1778468327.8399296,27603,1.0063631534576416
1778468327.962343,27620,1.006015419960022
1778468328.129753,27638,1.2188984155654907
1778468329.53228,27825,1.1735485792160034
1778468330.231679,27916,0.8966647982597351
